Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,Unnamed: 8
JMBA,"Jamba, Inc.",9.3,$144.97M,,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/jmba,
JRVR,"James River Group Holdings, Ltd.",37.71,$1.13B,2014.0,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/jrvr,
SGQI,Janus Henderson SG Global Quality Income ETF,27.6597,,,,,https://www.nasdaq.com/symbol/sgqi,
JSML,Janus Henderson Small Cap Growth Alpha ETF,37.2305,$7.52M,,,,https://www.nasdaq.com/symbol/jsml,
JSMD,Janus Henderson Small/Mid Cap Growth Alpha ETF,40.35,$14.2M,,,,https://www.nasdaq.com/symbol/jsmd,
JASN,"Jason Industries, Inc.",2.72,$74.46M,2013.0,Consumer Durables,Miscellaneous manufacturing industries,https://www.nasdaq.com/symbol/jasn,
JASNW,"Jason Industries, Inc.",0.0121,,2013.0,Consumer Durables,Miscellaneous manufacturing industries,https://www.nasdaq.com/symbol/jasnw,
JAZZ,Jazz Pharmaceuticals plc,147.26,$8.84B,2007.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/jazz,
JD,"JD.com, Inc.",37.67,$53.74B,2014.0,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/jd,
JSYN,Jensyn Acquistion Corp.,10.42,$34.84M,2016.0,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/jsyn,
JSYNR,Jensyn Acquistion Corp.,0.17,,2016.0,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/jsynr,
JSYNU,Jensyn Acquistion Corp.,11.05,,2016.0,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/jsynu,
JSYNW,Jensyn Acquistion Corp.,0.129,,2016.0,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/jsynw,
JRSH,"Jerash Holdings (US), Inc.",8.59,,,,,https://www.nasdaq.com/symbol/jrsh,
JBLU,JetBlue Airways Corporation,19.36,$6.13B,2002.0,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/jblu,
JTPY,JetPay Corporation,2.3,$35.44M,2011.0,Finance,Business Services,https://www.nasdaq.com/symbol/jtpy,
JCTCF,Jewett-Cameron Trading Company,14.7233,$32.9M,,Consumer Services,RETAIL: Building Materials,https://www.nasdaq.com/symbol/jctcf,
JMU,JMU Limited,0.7509999999999999,$61.55M,2015.0,Technology,EDP Services,https://www.nasdaq.com/symbol/jmu,
JBSS,"John B. Sanfilippo & Son, Inc.",62.73,$711.46M,1991.0,Consumer Non-Durables,Specialty Foods,https://www.nasdaq.com/symbol/jbss,
JOUT,Johnson Outdoors Inc.,73.66,$736.25M,,Consumer Non-Durables,Recreational Products/Toys,https://www.nasdaq.com/symbol/jout,
JNCE,"Jounce Therapeutics, Inc.",20.2,$656.15M,2017.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/jnce,
JNP,"Juniper Pharmaceuticals, Inc.",8.4,$93.25M,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/jnp,
KTWO,"K2M Group Holdings, Inc.",19.76,$857.4M,2014.0,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/ktwo,
KALU,Kaiser Aluminum Corporation,100.47,$1.68B,,Capital Goods,Metal Fabrications,https://www.nasdaq.com/symbol/kalu,
KALA,"Kala Pharmaceuticals, Inc.",15.75,$386.76M,2017.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/kala,
KALV,"KalVista Pharmaceuticals, Inc.",9.13,$98.57M,2015.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/kalv,
KMDA,Kamada Ltd.,4.65,$187.22M,2013.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/kmda,
KNDI,"Kandi Technologies Group, Inc.",5.1,$275.24M,,Capital Goods,Auto Manufacturing,https://www.nasdaq.com/symbol/kndi,
KPTI,Karyopharm Therapeutics Inc.,16.48,$818.91M,2013.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/kpti,
KAAC,Kayne Anderson Acquisition Corp.,9.75,$459.86M,2017.0,Finance,Business Services,https://www.nasdaq.com/symbol/kaac,
KAACU,Kayne Anderson Acquisition Corp.,10.0801,,2017.0,Finance,Business Services,https://www.nasdaq.com/symbol/kaacu,
KAACW,Kayne Anderson Acquisition Corp.,1.05,,2017.0,Finance,Business Services,https://www.nasdaq.com/symbol/kaacw,
KZIA,Kazia Therapeutics Limited,5.4,$26.14M,,Capital Goods,Miscellaneous,https://www.nasdaq.com/symbol/kzia,
KBLM,KBL Merger Corp. IV,9.92,$41.68M,2017.0,Finance,Business Services,https://www.nasdaq.com/symbol/kblm,
KBLMR,KBL Merger Corp. IV,0.3733,,2017.0,Finance,Business Services,https://www.nasdaq.com/symbol/kblmr,
KBLMU,KBL Merger Corp. IV,10.5,,2017.0,Finance,Business Services,https://www.nasdaq.com/symbol/kblmu,
KBLMW,KBL Merger Corp. IV,0.24,,2017.0,Finance,Business Services,https://www.nasdaq.com/symbol/kblmw,
KBSF,KBS Fashion Group Limited,4.88,$8.64M,2013.0,Consumer Non-Durables,Apparel,https://www.nasdaq.com/symbol/kbsf,
KCAP,"KCAP Financial, Inc.",3.2,$119.53M,2006.0,,,https://www.nasdaq.com/symbol/kcap,
KCAPL,"KCAP Financial, Inc.",25.36,,,,,https://www.nasdaq.com/symbol/kcapl,
KRNY,Kearny Financial,14.15,$1.48B,,Finance,Savings Institutions,https://www.nasdaq.com/symbol/krny,
KELYA,"Kelly Services, Inc.",30.28,$1.16B,,Technology,Professional Services,https://www.nasdaq.com/symbol/kelya,
KELYB,"Kelly Services, Inc.",29.0,$1.11B,,Technology,Professional Services,https://www.nasdaq.com/symbol/kelyb,
KMPH,"KemPharm, Inc.",5.1,$77.03M,2015.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/kmph,
KFFB,Kentucky First Federal Bancorp,8.75,$73.89M,,Finance,Savings Institutions,https://www.nasdaq.com/symbol/kffb,
KERX,"Keryx Biopharmaceuticals, Inc.",4.6,$548.21M,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/kerx,
KEQU,Kewaunee Scientific Corporation,34.0,$92.65M,,Capital Goods,Medical Specialities,https://www.nasdaq.com/symbol/kequ,
KTCC,Key Tronic Corporation,7.84,$84.36M,1983.0,Technology,Computer peripheral equipment,https://www.nasdaq.com/symbol/ktcc,
KFRC,"Kforce, Inc.",31.15,$818.02M,1995.0,Technology,Professional Services,https://www.nasdaq.com/symbol/kfrc,
KE,"Kimball Electronics, Inc.",18.0,$480.5M,,Technology,Electrical Products,https://www.nasdaq.com/symbol/ke,
KBAL,"Kimball International, Inc.",16.88,$632.74M,,Consumer Durables,Home Furnishings,https://www.nasdaq.com/symbol/kbal,
KIN,"Kindred Biosciences, Inc.",9.7,$273.57M,2013.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/kin,
KGJI,Kingold Jewelry Inc.,1.34,$88.59M,,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/kgji,
KINS,"Kingstone Companies, Inc",17.8,$190.18M,,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/kins,
KONE,Kingtone Wirelessinfo Solution Holding Ltd,6.2,$8.71M,2010.0,Technology,EDP Services,https://www.nasdaq.com/symbol/kone,
